prod_link,tags,seller_address,meta_description,meta_keyword
leggings/de-moza/de-moza-girls-black-printed-ankle-length-leggings/18392638/buy,"['clothing', 'girls-clothing', 'leggings', 'de-moza-leggings']","301 Regent Prime,4th Floor,Whitefield Main RoadWhitefield,BangaloreBengaluru , Karnataka - 560066",Buy De Moza Girls Black Printed Ankle Length Leggings - Leggings for Girls from De Moza at Rs. 486. Style ID: 18392638,"De Moza Girls Black Printed Ankle Length Leggings,  De Moza, Leggings, Bottomwear, Apparel, Apparel for Girls, Buy De Moza Girls Black Printed Ankle Length Leggings Online in India, Buy Leggings at best price"
earrings/w/w-black-floral-studs-earrings/18436356/buy,"['accessories', 'women-accessories', 'earrings', 'w-earrings']","Unit No. 112, Rectangle 1, 1st Floor, D-4, Saket, New Delhi - 110007New Delhi , Delhi - 110017",Buy W Black Floral Studs Earrings - Earrings for Women from W at Rs. 559. Style ID: 18436356,"W Black Floral Studs Earrings,  W, Earrings, Jewellery, Accessories, Accessories for Women, Buy W Black Floral Studs Earrings Online in India, Buy Earrings at best price"
casual-shoes/toms/toms-women-pink-alpargata-canvas-slip-on-sneakers/18489110/buy,"['footwear', 'women-footwear', 'casual-shoes', 'toms-casual-shoes']","Silpa Summit, Ground Floor, Plot No. 187, in Sy. No.50 (P), Beside IndusInd Bank,Gachibowli, Seri Lingampally Mandal, R R District-500032, Telangana State.Hyderabad , Telangana - 500032",Buy TOMS Women Pink Alpargata Canvas Slip On Sneakers - Casual Shoes for Women from TOMS at Rs. 5499. Style ID: 18489110,"TOMS Women Pink Alpargata Canvas Slip On Sneakers,  TOMS, Casual Shoes, Shoes, Footwear, Footwear for Women, Buy TOMS Women Pink Alpargata Canvas Slip On Sneakers Online in India, Buy Casual Shoes at best price"
tights/urbanic/urbanic-orange-slim-fit-gym-tights/18592558/buy,"['clothing', 'women-clothing', 'tights', 'urbanic-tights']","90-B, 91SPRINGBOARD, Delhi - Jaipur Expy, Sector 18Gurgaon, HaryanaGurugram , HARYANA - 122008",Buy URBANIC Orange Slim Fit Gym Tights - Tights for Women from URBANIC at Rs. 990. Style ID: 18592558,"URBANIC Orange Slim Fit Gym Tights,  URBANIC, Tights, Bottomwear, Apparel, Apparel for Women, Buy URBANIC Orange Slim Fit Gym Tights Online in India, Buy Tights at best price"
nightdress/the-kaftan-company/the-kaftan-company-sea-green-embroidered-pure-cotton-maxi-nightdress/15990662/buy,"['clothing', 'women-clothing', 'nightdress', 'the-kaftan-company-nightdress']","Sy No 676, Shed No. 1, Devar YamzalShamirpet, HyderabadMedchal , Telangana - 500078",Buy The Kaftan Company Sea Green Embroidered Pure Cotton Maxi Nightdress - Nightdress for Women from The Kaftan Company at Rs. 1999. Style ID: 15990662,"The Kaftan Company Sea Green Embroidered Pure Cotton Maxi Nightdress,  The Kaftan Company, Nightdress, Loungewear And Nightwear, Apparel, Apparel for Women, Buy The Kaftan Company Sea Green Embroidered Pure Cotton Maxi Nightdress Online in India, Buy Nightdress at best price"
shirts/american-eagle-outfitters/american-eagle-outfitters-men-multicoloured-slim-fit-buffalo-checks-opaque-checked-casual-shirt/15722336/buy,"['clothing', 'men-clothing', 'shirts', 'american-eagle-outfitters-shirts']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2ndMain Road,Bengaluru , Karnataka - 560044",Buy AMERICAN EAGLE OUTFITTERS Men Multicoloured Slim Fit Buffalo Checks Opaque Checked Casual Shirt - Shirts for Men from AMERICAN EAGLE OUTFITTERS at Rs. 1559. Style ID: 15722336,"AMERICAN EAGLE OUTFITTERS Men Multicoloured Slim Fit Buffalo Checks Opaque Checked Casual Shirt,  AMERICAN EAGLE OUTFITTERS, Shirts, Topwear, Apparel, Apparel for Men, Buy AMERICAN EAGLE OUTFITTERS Men Multicoloured Slim Fit Buffalo Checks Opaque Checked Casual Shirt Online in India, Buy Shirts at best price"
co-ords/urbanic/urbanic-blue--pink-dyed-printed-two-piece-set/15098708/buy,"['clothing', 'women-clothing', 'co-ords', 'urbanic-co-ords']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy URBANIC Blue & Pink Dyed Printed Two Piece Set - Co Ords for Women from URBANIC at Rs. 1039. Style ID: 15098708,"URBANIC Blue & Pink Dyed Printed Two Piece Set,  URBANIC, Co Ords, Apparel Set, Apparel, Apparel for Women, Buy URBANIC Blue & Pink Dyed Printed Two Piece Set Online in India, Buy Co Ords at best price"
shorts/urbanic/urbanic-women-blue-slim-fit-high-rise-denim-shorts/15632792/buy,"['clothing', 'women-clothing', 'shorts', 'urbanic-shorts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy URBANIC Women Blue Slim Fit High Rise Denim Shorts - Shorts for Women from URBANIC at Rs. 954. Style ID: 15632792,"URBANIC Women Blue Slim Fit High Rise Denim Shorts,  URBANIC, Shorts, Bottomwear, Apparel, Apparel for Women, Buy URBANIC Women Blue Slim Fit High Rise Denim Shorts Online in India, Buy Shorts at best price"
bra/max/max-black-lightly-padded-bra-bra-sp22pdnw11/17798236/buy,"['clothing', 'women-clothing', 'bra', 'max-bra']","#41/2,42/2,Oblapura Gram panchyat,Anugondanahalli HobliDevangundi Main RoadHoskote TalukBengaluru , Karnataka - 560067",Buy Max Black Lightly Padded Bra Bra SP22PDNW11 - Bra for Women from Max at Rs. 649. Style ID: 17798236,"Max Black Lightly Padded Bra Bra SP22PDNW11,  Max, Bra, Innerwear, Apparel, Apparel for Women, Buy Max Black Lightly Padded Bra Bra SP22PDNW11 Online in India, Buy Bra at best price"
shirts/jbn-creation/jbn-creation-boys-yellow-classic-casual-shirt/18065514/buy,"['clothing', 'boys-clothing', 'shirts', 'jbn-creation-shirts']","59/A, Matheswartola Road, Kolkata, West Bengal, India, 7000461st floor, Scooter Gali, Opposite Kim Ling restaurant, China TownKolkata , West bengal - 700046",Buy JBN Creation Boys Yellow Classic Casual Shirt - Shirts for Boys from JBN Creation at Rs. 419. Style ID: 18065514,"JBN Creation Boys Yellow Classic Casual Shirt,  JBN Creation, Shirts, Topwear, Apparel, Apparel for Boys, Buy JBN Creation Boys Yellow Classic Casual Shirt Online in India, Buy Shirts at best price"
